media,template_id,display_name,backend_value,type,preview_image_url
Kultur AI,kultur_cover_video,Cover (video),kultur cover video,Video,
Kultur AI,kultur_cover_circle_ka,Cover + circle kanan atas,kultur cover carousel with circle kanan atas,Image,
Kultur AI,kultur_cover_circle_kia,Cover + circle kiri atas,kultur cover carousel with circle kiri atas,Image,
Kultur AI,kultur_cover_circle_kab,Cover + circle kanan bawah,kultur cover carousel with circle kanan bawah,Image,
Kultur AI,kultur_slide,Slide Carousel,kultur slide carousel,Image,
Kultur AI,kultur_slide_circle,Slide + circle,kultur slide carousel with circle,Image,
Kultur AI,kultur_slide_2img_lr,Slide 2 image (kiri kanan),kultur slide carousel 2 image kiri kanan,Image,
Kultur AI,kultur_slide_2img_tb,Slide 2 image (atas bawah),kultur slide carousel 2 image atas bawah,Image,
Bersama Teddy,teddy_cover,Cover Carousel,img article bersamateddy,Image,
Bersama Teddy,teddy_cover_circle,Cover + circle,img article bersamateddy with circle,Image,
Bersama Teddy,teddy_clipper_landscape,Clipper (landscape),clipper teddy landscape,Video,
Bersama Teddy,teddy_clipper_portrait,Clipper (portrait),clipper teddy full portrait,Video,
Bersama Teddy,teddy_clipper_square,Clipper (square),clipper teddy square,Video,
Bersama Teddy,teddy_repurpose,Repurpose,repurpose bersamateddy,Video,
Kami Meutya,meutya_cover,Cover Carousel,img article kamimeutya,Image,
Kami Meutya,meutya_cover_circle,Cover + circle,img article kamimeutya with circle,Image,
Kami Meutya,meutya_clipper_landscape,Clipper (landscape),clipper meutya landscape,Video,
Kami Meutya,meutya_clipper_portrait,Clipper (portrait),clipper meutya full portrait,Video,
Kami Meutya,meutya_clipper_square,Clipper (square),clipper meutya square,Video,
Kami Meutya,meutya_repurpose,Repurpose,repurpose kamimeutya,Video,
Bocahe Kaesang,kaesang_cover,Cover Carousel,img article bocahekaesang,Image,
Bocahe Kaesang,kaesang_cover_circle,Cover + circle,img article bocahekaesang with circle,Image,
Bocahe Kaesang,kaesang_clipper_landscape,Clipper (landscape),clipper kaesang landscape,Video,
Bocahe Kaesang,kaesang_clipper_portrait,Clipper (portrait),clipper kaesang full portrait,Video,
Bocahe Kaesang,kaesang_clipper_square,Clipper (square),clipper kaesang square,Video,
Bocahe Kaesang,kaesang_repurpose,Repurpose,repurpose bocahekaesang,Video,
Team Pur,pur_cover,Cover Carousel,img article teampur,Image,
Team Pur,pur_cover_circle,Cover + circle,img article teampur with circle,Image,
Team Pur,pur_clipper_landscape,Clipper (landscape),clipper purbaya landscape,Video,
Team Pur,pur_clipper_portrait,Clipper (portrait),clipper purbaya portrait,Video,
Team Pur,pur_clipper_square,Clipper (square),clipper purbaya square,Video,
Team Pur,pur_repurpose,Repurpose,repurpose teampur,Video,
Motorell,motorell_cover,Cover Carousel,motorell cover carousel,Image,
Motorell,motorell_cover_circle_kiri,Cover + circle kiri,motorell cover carousel with circle kiri,Image,
Motorell,motorell_cover_circle_kanan,Cover + circle kanan,motorell cover carousel with circle kanan,Image,
Motorell,motorell_slide,Slide Carousel,motorell slide carousel,Image,
Motorell,motorell_repurpose_portrait,Repurpose (portrait),motorell clipper portrait,Video,
Motorell,motorell_repurpose_square,Repurpose (square),motorell clipper square,Video,
Motorell,motorell_cta,CTA,motorell cta,Image,
Fox Populi,fox_cover_kiri,Cover (Fox kiri),fox cover carousel karakter kiri,Image,SUDAH ADA
Fox Populi,fox_cover_kanan,Cover (Fox kanan),fox cover carousel karakter kanan,Image,SUDAH ADA
Fox Populi,fox_cover_circle_kiri,Cover + circle kiri,fox cover carousel with circle kiri,Image,SUDAH ADA
Fox Populi,fox_cover_circle_kanan,Cover + circle kanan,fox cover carousel with circle kanan,Image,SUDAH ADA
Fox Populi,fox_slide,Slide Carousel,fox slide carousel,Image,SUDAH ADA
Fox Populi,fox_repurpose_kanan,Repurpose (Fox kanan),fox repurpose portrait (positive),Video,
Fox Populi,fox_repurpose_kiri,Repurpose (Fox kiri),fox repurpose square (negative),Video,
Fox Populi,fox_repurpose_tengah,Repurpose (Fox tengah),fox repurpose square (neutral),Video,
Whats On,whatson_cover,Cover Carousel,whatson cover carousel,Image,
Whats On,whatson_cover_circle_kiri,Cover + circle kiri,whatson cover carousel with circle kiri,Image,
Whats On,whatson_cover_circle_kanan,Cover + circle kanan,whatson cover carousel with circle kanan,Image,
Whats On,whatson_slide,Slide Carousel,whatson slide carousel,Image,
Whats On,whatson_repurpose_portrait,Repurpose (portrait),whatson repurpose portrait,Video,
Whats On,whatson_repurpose_square,Repurpose (square),whatson repurpose square,Video,
Dakwah AI,dakwah_cover,Cover Carousel,dakwah cover carousel,Image,
Dakwah AI,dakwah_cover_circle_kiri,Cover + circle kiri,dakwah cover carousel with circle kiri,Image,
Dakwah AI,dakwah_cover_circle_kanan,Cover + circle kanan,dakwah cover carousel with circle kanan,Image,
Dakwah AI,dakwah_slide,Slide Carousel,dakwah slide carousel,Image,
Dakwah AI,dakwah_clipper_portrait,Clipper (portrait),dakwah repurpose portrait,Video,
Dakwah AI,dakwah_clipper_square,Clipper (square),dakwah repurpose square,Video,
Wisato ID,wisato_cover,Cover Carousel,wisato cover carousel,Image,
Wisato ID,wisato_cover_circle_kiri,Cover + circle kiri,wisato cover carousel with circle kiri,Image,
Wisato ID,wisato_cover_circle_kanan,Cover + circle kanan,wisato cover carousel with circle kanan,Image,
Wisato ID,wisato_slide,Slide Carousel,wisato slide carousel,Image,
Wisato ID,wisato_clipper_portrait,Clipper (portrait),wisato repurpose portrait,Video,
Wisato ID,wisato_clipper_square,Clipper (square),wisato repurpose square,Video,
Maxi Theory,max_cover,Cover Carousel,max cover carousel,Image,
Maxi Theory,max_cover_circle_kiri,Cover + circle kiri,max cover carousel with circle kiri,Image,
Maxi Theory,max_cover_circle_kanan,Cover + circle kanan,max cover carousel with circle kanan,Image,
Maxi Theory,max_slide,Slide Carousel,max slide carousel,Image,
Maxi Theory,max_repurpose_narasi,Repurpose (portrait) dengan Narasi,max repurpose portrait dengan narasi,Video,
Maxi Theory,max_repurpose_tanpa,Repurpose (portrait) tanpa Narasi,max repurpose portrait tanpa narasi,Video,
